,index,location,date_start,date_25pc,date_50pc,gdp_per_capita,gdpgrp
51,51,Germany,2020-12-28,2021-06-11,2021-07-27,45229.245,group 4
52,52,Ghana,2021-04-08,,,4227.63,group 2
53,53,Greece,2020-12-29,2021-06-11,2021-08-02,24574.382,group 3
54,54,Grenada,2021-03-15,2021-10-15,,13593.877,group 3
55,55,Guatemala,2021-03-12,,,7423.808,group 2
56,56,Guinea,2021-04-16,,,1998.926,group 1
57,57,Guyana,2021-06-30,2021-10-05,,7435.047,group 2
58,58,Haiti,2021-07-22,,,1653.173,group 1
59,59,Honduras,2021-03-17,2021-10-15,,4541.795,group 2
60,60,Hong Kong,2021-02-23,2021-07-15,2021-09-11,56054.92,group 4
61,61,Hungary,2021-01-19,2021-05-07,2021-06-27,26777.561,group 4
62,62,Iceland,2021-02-16,2021-05-27,2021-06-24,46482.958,group 4
63,63,India,2021-01-16,,,6426.674,group 2
64,64,Indonesia,2021-01-25,,,11188.744,group 2
65,65,Iran,2021-02-09,2021-10-18,,19082.62,group 3
66,66,Iraq,2021-04-05,,,15663.986,group 3
67,67,Ireland,2020-12-29,2021-06-14,2021-07-17,67335.293,group 4
68,68,Israel,2020-12-20,2021-02-08,2021-03-17,33132.32,group 4
69,69,Italy,2020-12-28,2021-06-17,2021-07-27,35220.084,group 4
70,70,Jamaica,2021-04-07,,,8193.571,group 2
71,71,Japan,2021-02-18,2021-07-22,2021-09-09,39002.223,group 4
72,72,Jordan,2021-05-27,2021-08-17,,8337.49,group 2
73,73,Kazakhstan,2021-04-22,2021-08-17,,24055.588,group 3
74,74,Kenya,2021-04-08,,,2993.028,group 1
